,image,split,ih,iw,sh,sw,color,object,part,material,scene,texture,objects,n_objects
7591,ade20k/ADE_train_00019900.jpg,train,224,224,112,112,ade20k/ADE_train_00019900_color.png,ade20k/ADE_train_00019900_object.png,ade20k/ADE_train_00019900_part_1.png,,745.0,,[  2  13  18  31 153 238],5
47435,ade20k/ADE_train_00009219.jpg,val,224,224,112,112,ade20k/ADE_train_00009219_color.png,ade20k/ADE_train_00009219_object.png,,,233.0,,[ 13  16  31 169 172 250],5
7595,pascal/2010_000527.jpg,train,224,224,112,112,pascal/2010_000527_color.png,pascal/2010_000527_object.png,pascal/2010_000527_part.png,,,,[ 13  16  18  33  57 243],5
47190,ade20k/ADE_train_00011016.jpg,val,224,224,112,112,ade20k/ADE_train_00011016_color.png,ade20k/ADE_train_00011016_object.png,,,948.0,,[ 13  16  18  75 169 236],5
15457,pascal/2009_005025.jpg,train,224,224,112,112,pascal/2009_005025_color.png,pascal/2009_005025_object.png,pascal/2009_005025_part.png,,,,[13 16 18 33 38 52],5
26658,pascal/2008_006032.jpg,train,224,224,112,112,pascal/2008_006032_color.png,pascal/2008_006032_object.png,pascal/2008_006032_part.png,,,,[18 19 33 38 57 93],5
7602,ade20k/ADE_train_00004860.jpg,train,224,224,112,112,ade20k/ADE_train_00004860_color.png,ade20k/ADE_train_00004860_object.png,,,645.0,,[12 14 15 25 46 86],5
3306,ade20k/ADE_train_00014576.jpg,train,224,224,112,112,ade20k/ADE_train_00014576_color.png,ade20k/ADE_train_00014576_object.png,,,,,[12 14 23 25 45 46],5
31878,ade20k/ADE_train_00004171.jpg,train,224,224,112,112,ade20k/ADE_train_00004171_color.png,ade20k/ADE_train_00004171_object.png,,,83.0,,[12 14 27 50 54 61],5
43959,ade20k/ADE_train_00012309.jpg,train,224,224,112,112,ade20k/ADE_train_00012309_color.png,ade20k/ADE_train_00012309_object.png,ade20k/ADE_train_00012309_part_1.png,,,,[  1  13  18  60 143 156],5
47453,ade20k/ADE_train_00012213.jpg,val,224,224,112,112,ade20k/ADE_train_00012213_color.png,ade20k/ADE_train_00012213_object.png,,,554.0,,[ 12  14  25  40 113 157],5
61126,pascal/2009_000430.jpg,val,224,224,112,112,pascal/2009_000430_color.png,pascal/2009_000430_object.png,pascal/2009_000430_part.png,,,,[ 16  19  33  52  93 115],5
26788,ade20k/ADE_train_00014668.jpg,train,224,224,112,112,ade20k/ADE_train_00014668_color.png,ade20k/ADE_train_00014668_object.png,,,,,[13 16 18 38 56 68],5
57912,pascal/2008_004533.jpg,val,224,224,112,112,pascal/2008_004533_color.png,pascal/2008_004533_object.png,pascal/2008_004533_part.png,,,,[ 18  19  52 167 170 183],5
57908,pascal/2009_001448.jpg,val,224,224,112,112,pascal/2009_001448_color.png,pascal/2009_001448_object.png,pascal/2009_001448_part.png,,,,[ 13  16  52  57 183 224],5
7548,pascal/2008_001946.jpg,train,224,224,112,112,pascal/2008_001946_color.png,pascal/2008_001946_object.png,pascal/2008_001946_part.png,,,,[ 13  19  52  56  75 123],5
37968,ade20k/ADE_train_00002443.jpg,train,224,224,112,112,ade20k/ADE_train_00002443_color.png,ade20k/ADE_train_00002443_object.png,ade20k/ADE_train_00002443_part_1.png,,821.0,,[ 13  16  35  57  79 131],5
7554,ade20k/ADE_train_00014613.jpg,train,224,224,112,112,ade20k/ADE_train_00014613_color.png,ade20k/ADE_train_00014613_object.png,ade20k/ADE_train_00014613_part_1.png,,,,[13 16 18 44 68 85],5
61130,pascal/2008_008757.jpg,val,224,224,112,112,pascal/2008_008757_color.png,pascal/2008_008757_object.png,pascal/2008_008757_part.png,,,,[  1  18  19  22 185 232],5
13798,pascal/2008_008370.jpg,train,224,224,112,112,pascal/2008_008370_color.png,pascal/2008_008370_object.png,pascal/2008_008370_part.png,,,,[ 16  18  33  38  52 251],5
63111,ade20k/ADE_train_00001429.jpg,val,224,224,112,112,ade20k/ADE_train_00001429_color.png,ade20k/ADE_train_00001429_object.png,ade20k/ADE_train_00001429_part_1.png,,467.0,,[12 13 16 18 31 33],5
63131,pascal/2009_003736.jpg,val,224,224,112,112,pascal/2009_003736_color.png,pascal/2009_003736_object.png,pascal/2009_003736_part.png,,,,[13 16 19 56 57 75],5
37254,ade20k/ADE_train_00016863.jpg,train,224,224,112,112,ade20k/ADE_train_00016863_color.png,ade20k/ADE_train_00016863_object.png,ade20k/ADE_train_00016863_part_1.png,,59.0,,[ 18  43  47  60 178 255],5
57899,ade20k/ADE_train_00019786.jpg,val,224,224,112,112,ade20k/ADE_train_00019786_color.png,ade20k/ADE_train_00019786_object.png,,,0.0,,[  1  35  40  75  85 104],5
22127,ade20k/ADE_train_00016648.jpg,train,224,224,112,112,ade20k/ADE_train_00016648_color.png,ade20k/ADE_train_00016648_object.png,,,223.0,,[ 13  18  31  75 123 241],5
29868,ade20k/ADE_train_00019464.jpg,train,224,224,112,112,ade20k/ADE_train_00019464_color.png,ade20k/ADE_train_00019464_object.png,,,580.0,,[ 13  16  56  68 172 250],5
57675,ade20k/ADE_train_00009168.jpg,val,224,224,112,112,ade20k/ADE_train_00009168_color.png,ade20k/ADE_train_00009168_object.png,,,233.0,,[ 13  31  38  47 149 172],5
52193,ade20k/ADE_train_00018853.jpg,val,224,224,112,112,ade20k/ADE_train_00018853_color.png,ade20k/ADE_train_00018853_object.png,,,59.0,,[13 18 19 31 38 43],5
37984,ade20k/ADE_train_00013521.jpg,train,224,224,112,112,ade20k/ADE_train_00013521_color.png,ade20k/ADE_train_00013521_object.png,ade20k/ADE_train_00013521_part_1.png;ade20k/ADE_train_00013521_part_2.png,,,,[ 2  3  5 13 18 60],5
41681,ade20k/ADE_train_00019027.jpg,train,224,224,112,112,ade20k/ADE_train_00019027_color.png,ade20k/ADE_train_00019027_object.png,,,754.0,,[  1  12  14  19  47 217],5
47442,ade20k/ADE_train_00013975.jpg,val,224,224,112,112,ade20k/ADE_train_00013975_color.png,ade20k/ADE_train_00013975_object.png,,,0.0,,[  1  13  18  57  68 109],5
