,image,split,ih,iw,sh,sw,color,object,part,material,scene,texture,objects,n_objects
61937,ade20k/ADE_train_00003925.jpg,val,224,224,112,112,ade20k/ADE_train_00003925_color.png,ade20k/ADE_train_00003925_object.png,ade20k/ADE_train_00003925_part_1.png;ade20k/ADE_train_00003925_part_2.png,,83.0,,[ 12  14  36  50  61 100 127 138 164],8
59579,ade20k/ADE_train_00008466.jpg,val,224,224,112,112,ade20k/ADE_train_00008466_color.png,ade20k/ADE_train_00008466_object.png,,,492.0,,[  1   7  12  14  23  25  65  76 144],8
63039,ade20k/ADE_train_00017227.jpg,val,224,224,112,112,ade20k/ADE_train_00017227_color.png,ade20k/ADE_train_00017227_object.png,ade20k/ADE_train_00017227_part_1.png;ade20k/ADE_train_00017227_part_2.png,,59.0,,[12 13 16 18 23 31 35 38 43],8
59577,ade20k/ADE_train_00002235.jpg,val,224,224,112,112,ade20k/ADE_train_00002235_color.png,ade20k/ADE_train_00002235_object.png,ade20k/ADE_train_00002235_part_1.png,,592.0,,[ 12  13  14  18  36  76 118 135 221],8
63064,ade20k/ADE_train_00019764.jpg,val,224,224,112,112,ade20k/ADE_train_00019764_color.png,ade20k/ADE_train_00019764_object.png,ade20k/ADE_train_00019764_part_1.png,,0.0,,[12 13 16 18 35 57 75 76 91],8
36799,ade20k/ADE_train_00013258.jpg,train,224,224,112,112,ade20k/ADE_train_00013258_color.png,ade20k/ADE_train_00013258_object.png,ade20k/ADE_train_00013258_part_1.png,,,,[ 13  16  18  19  31  38  43 119 155],8
60755,ade20k/ADE_train_00007987.jpg,val,224,224,112,112,ade20k/ADE_train_00007987_color.png,ade20k/ADE_train_00007987_object.png,ade20k/ADE_train_00007987_part_1.png,,951.0,,[  1   2  13  16  19  28  57  75 131],8
61903,ade20k/ADE_train_00005161.jpg,val,224,224,112,112,ade20k/ADE_train_00005161_color.png,ade20k/ADE_train_00005161_object.png,,,529.0,,[  1   2  12  14  15  25  40  74 234],8
36785,pascal/2008_004176.jpg,train,224,224,112,112,pascal/2008_004176_color.png,pascal/2008_004176_object.png,pascal/2008_004176_part.png,,,,[ 12  14  19  25  40  65 111 112 188],8
61719,pascal/2010_003538.jpg,val,224,224,112,112,pascal/2010_003538_color.png,pascal/2010_003538_object.png,pascal/2010_003538_part.png,,,,[12 14 19 36 40 46 54 70 94],8
58611,ade20k/ADE_train_00016306.jpg,val,224,224,112,112,ade20k/ADE_train_00016306_color.png,ade20k/ADE_train_00016306_object.png,ade20k/ADE_train_00016306_part_1.png,,1108.0,,[  1   2  13  16  18  33  35 109 147],8
37288,ade20k/ADE_train_00006197.jpg,train,224,224,112,112,ade20k/ADE_train_00006197_color.png,ade20k/ADE_train_00006197_object.png,ade20k/ADE_train_00006197_part_1.png,,724.0,,[  1  13  18  19  68  71  76 119 121],8
60624,ade20k/ADE_train_00014512.jpg,val,224,224,112,112,ade20k/ADE_train_00014512_color.png,ade20k/ADE_train_00014512_object.png,ade20k/ADE_train_00014512_part_1.png,,,,[  1  12  13  16  18  31  38  68 186],8
59380,ade20k/ADE_val_00001590.jpg,val,224,224,112,112,ade20k/ADE_val_00001590_color.png,ade20k/ADE_val_00001590_object.png,ade20k/ADE_val_00001590_part_1.png,,,,[ 13  16  18  19  31  33  35  43 128],8
61054,pascal/2008_008619.jpg,val,224,224,112,112,pascal/2008_008619_color.png,pascal/2008_008619_object.png,pascal/2008_008619_part.png,,,,[ 13  16  19  24  33 115 124 232 251],8
60758,ade20k/ADE_train_00005234.jpg,val,224,224,112,112,ade20k/ADE_train_00005234_color.png,ade20k/ADE_train_00005234_object.png,,,478.0,,[  1  13  16  19  31  33  35  53 161],8
58319,ade20k/ADE_train_00017976.jpg,val,224,224,112,112,ade20k/ADE_train_00017976_color.png,ade20k/ADE_train_00017976_object.png,ade20k/ADE_train_00017976_part_1.png,,59.0,,[ 13  16  18  19  31  38  43  60 155],8
58637,pascal/2010_003482.jpg,val,224,224,112,112,pascal/2010_003482_color.png,pascal/2010_003482_object.png,pascal/2010_003482_part.png,,,,[ 13  16  18  33  52  55  57 185 209],8
58642,ade20k/ADE_train_00019514.jpg,val,224,224,112,112,ade20k/ADE_train_00019514_color.png,ade20k/ADE_train_00019514_object.png,,,0.0,,[  1  12  14  15  23  27  36  63 170],8
59626,ade20k/ADE_train_00013846.jpg,val,224,224,112,112,ade20k/ADE_train_00013846_color.png,ade20k/ADE_train_00013846_object.png,,,0.0,,[  1  12  14  19  25  27  43 122 173],8
58649,pascal/2008_002502.jpg,val,224,224,112,112,pascal/2008_002502_color.png,pascal/2008_002502_object.png,pascal/2008_002502_part.png,,,,[ 13  16  18  19  27  36  41  52 145],8
60882,pascal/2010_004027.jpg,val,224,224,112,112,pascal/2010_004027_color.png,pascal/2010_004027_object.png,pascal/2010_004027_part.png,,,,[ 13  16  18  19  24  38  43  52 248],8
61804,ade20k/ADE_train_00006731.jpg,val,224,224,112,112,ade20k/ADE_train_00006731_color.png,ade20k/ADE_train_00006731_object.png,ade20k/ADE_train_00006731_part_1.png,,833.0,,[ 12  13  16  18  31  35  38  60 212],8
63012,ade20k/ADE_train_00006221.jpg,val,224,224,112,112,ade20k/ADE_train_00006221_color.png,ade20k/ADE_train_00006221_object.png,ade20k/ADE_train_00006221_part_1.png,,970.0,,[ 13  18  19  31  38  43  47 104 122],8
63203,ade20k/ADE_val_00001137.jpg,val,224,224,112,112,ade20k/ADE_val_00001137_color.png,ade20k/ADE_val_00001137_object.png,ade20k/ADE_val_00001137_part_1.png;ade20k/ADE_val_00001137_part_2.png,,83.0,,[ 12  27  45  48  50  61  79  88 100],8
61828,ade20k/ADE_train_00012468.jpg,val,224,224,112,112,ade20k/ADE_train_00012468_color.png,ade20k/ADE_train_00012468_object.png,ade20k/ADE_train_00012468_part_1.png,,,,[ 13  16  18  31  38  43  55  57 172],8
58310,ade20k/ADE_train_00012647.jpg,val,224,224,112,112,ade20k/ADE_train_00012647_color.png,ade20k/ADE_train_00012647_object.png,ade20k/ADE_train_00012647_part_1.png,,,,[ 13  16  18  33  35  60 104 115 146],8
61038,ade20k/ADE_train_00012619.jpg,val,224,224,112,112,ade20k/ADE_train_00012619_color.png,ade20k/ADE_train_00012619_object.png,,,,,[  4  13  16  33  68 123 146 173 225],8
59595,pascal/2008_008091.jpg,val,224,224,112,112,pascal/2008_008091_color.png,pascal/2008_008091_object.png,pascal/2008_008091_part.png,,,,[  1   2  19  24  27  36  66 107 109],8
37544,ade20k/ADE_train_00013320.jpg,train,224,224,112,112,ade20k/ADE_train_00013320_color.png,ade20k/ADE_train_00013320_object.png,ade20k/ADE_train_00013320_part_1.png;ade20k/ADE_train_00013320_part_2.png,,,,[  1  12  14  27  78  96 127 199 216],8
63227,ade20k/ADE_train_00009019.jpg,val,224,224,112,112,ade20k/ADE_train_00009019_color.png,ade20k/ADE_train_00009019_object.png,,,233.0,,[  1   3  16  24  31  38  47 153 172],8
59699,ade20k/ADE_train_00004503.jpg,val,224,224,112,112,ade20k/ADE_train_00004503_color.png,ade20k/ADE_train_00004503_object.png,,,0.0,,[  1  12  14  19  25  47  70  86 104],8
60860,ade20k/ADE_train_00016042.jpg,val,224,224,112,112,ade20k/ADE_train_00016042_color.png,ade20k/ADE_train_00016042_object.png,,,873.0,,[  1   2  13  18  38  71 146 166 205],8
59681,ade20k/ADE_train_00020022.jpg,val,224,224,112,112,ade20k/ADE_train_00020022_color.png,ade20k/ADE_train_00020022_object.png,,,556.0,,[  1  12  14  15  64  77  86 161 212],8
60801,ade20k/ADE_train_00008880.jpg,val,224,224,112,112,ade20k/ADE_train_00008880_color.png,ade20k/ADE_train_00008880_object.png,ade20k/ADE_train_00008880_part_1.png;ade20k/ADE_train_00008880_part_2.png,,1150.0,,[  2  13  16  18  19  31  38 122 143],8
60828,ade20k/ADE_train_00009239.jpg,val,224,224,112,112,ade20k/ADE_train_00009239_color.png,ade20k/ADE_train_00009239_object.png,,,233.0,,[ 12  13  16  18  31  38  56  57 236],8
60950,ade20k/ADE_train_00014939.jpg,val,224,224,112,112,ade20k/ADE_train_00014939_color.png,ade20k/ADE_train_00014939_object.png,,,,,[ 13  16  18  38  57  68  75  90 121],8
58402,ade20k/ADE_train_00012957.jpg,val,224,224,112,112,ade20k/ADE_train_00012957_color.png,ade20k/ADE_train_00012957_object.png,ade20k/ADE_train_00012957_part_1.png,,,,[ 12  13  16  18  19  43  55 121 239],8
58387,ade20k/ADE_train_00012462.jpg,val,224,224,112,112,ade20k/ADE_train_00012462_color.png,ade20k/ADE_train_00012462_object.png,,,,,[ 12  14  16  18  27  35  36  90 200],8
58365,ade20k/ADE_train_00002037.jpg,val,224,224,112,112,ade20k/ADE_train_00002037_color.png,ade20k/ADE_train_00002037_object.png,ade20k/ADE_train_00002037_part_1.png,,0.0,,[  1  13  16  18  31  43  47 122 187],8
63152,pascal/2008_002193.jpg,val,224,224,112,112,pascal/2008_002193_color.png,pascal/2008_002193_object.png,pascal/2008_002193_part.png,,,,[ 13  16  18  19  31  47  55  57 185],8
