,image,split,ih,iw,sh,sw,color,object,part,material,scene,texture,objects,n_objects
32191,ade20k/ADE_train_00010680.jpg,train,224,224,112,112,ade20k/ADE_train_00010680_color.png,ade20k/ADE_train_00010680_object.png,,,134.0,,[ 12  14  25  27  36  45  48  50  72 116 124 163 174 191],14
14769,ade20k/ADE_train_00001105.jpg,train,224,224,112,112,ade20k/ADE_train_00001105_color.png,ade20k/ADE_train_00001105_object.png,,,396.0,,[  1   2   3  12  14  19  25  36  46  47  48  93 113 221],14
45315,ade20k/ADE_train_00010285.jpg,val,224,224,112,112,ade20k/ADE_train_00010285_color.png,ade20k/ADE_train_00010285_object.png,,,134.0,,[  1  12  14  41  45  70  91 125 161 191 207 229 242 249],14
14167,ade20k/ADE_train_00011539.jpg,train,224,224,112,112,ade20k/ADE_train_00011539_color.png,ade20k/ADE_train_00011539_object.png,,,491.0,,[  2   6  12  14  15  23  25  27  35  40  54  89  95 141],14
32209,ade20k/ADE_train_00015973.jpg,train,224,224,112,112,ade20k/ADE_train_00015973_color.png,ade20k/ADE_train_00015973_object.png,ade20k/ADE_train_00015973_part_1.png,,510.0,,[  1   2  13  18  19  26  31  35  38  43  47  60 178 206],14
46114,ade20k/ADE_train_00017762.jpg,val,224,224,112,112,ade20k/ADE_train_00017762_color.png,ade20k/ADE_train_00017762_object.png,ade20k/ADE_train_00017762_part_1.png,,59.0,,[  1  16  18  19  31  35  43  55 119 149 155 156 175 239],14
15024,ade20k/ADE_train_00005564.jpg,train,224,224,112,112,ade20k/ADE_train_00005564_color.png,ade20k/ADE_train_00005564_object.png,,,688.0,,[  1   2  12  14  15  25  50  76 113 121 141 147 186 225],14
13289,ade20k/ADE_train_00017966.jpg,train,224,224,112,112,ade20k/ADE_train_00017966_color.png,ade20k/ADE_train_00017966_object.png,ade20k/ADE_train_00017966_part_1.png,,59.0,,[  1  13  16  18  19  31  35  38  43  47  60  90 239 255],14
55483,ade20k/ADE_train_00001861.jpg,val,224,224,112,112,ade20k/ADE_train_00001861_color.png,ade20k/ADE_train_00001861_object.png,ade20k/ADE_train_00001861_part_1.png,,0.0,,[  1  12  14  15  18  23  27  35  36  40  45 100 124 136],14
54361,ade20k/ADE_train_00014585.jpg,val,224,224,112,112,ade20k/ADE_train_00014585_color.png,ade20k/ADE_train_00014585_object.png,,,,,[  1  12  13  18  19  27  36  64  65  68 121 149 169 189],14
32801,ade20k/ADE_train_00000038.jpg,train,224,224,112,112,ade20k/ADE_train_00000038_color.png,ade20k/ADE_train_00000038_object.png,ade20k/ADE_train_00000038_part_1.png,,130.0,,[ 12  14  23  25  27  36  45  48  91 100 165 190 214 254],14
45520,ade20k/ADE_train_00017617.jpg,val,224,224,112,112,ade20k/ADE_train_00017617_color.png,ade20k/ADE_train_00017617_object.png,ade20k/ADE_train_00017617_part_1.png,,59.0,,[  1   3  12  13  16  18  31  35  38  43  47  55 156 226],14
15728,ade20k/ADE_val_00000162.jpg,train,224,224,112,112,ade20k/ADE_val_00000162_color.png,ade20k/ADE_val_00000162_object.png,ade20k/ADE_val_00000162_part_1.png;ade20k/ADE_val_00000162_part_2.png,,83.0,,[ 12  14  23  25  27  40  41  50  61  76  77 101 152 212],14
55743,ade20k/ADE_train_00008403.jpg,val,224,224,112,112,ade20k/ADE_train_00008403_color.png,ade20k/ADE_train_00008403_object.png,ade20k/ADE_train_00008403_part_1.png,,407.0,,[  1   2  12  14  15  23  25  46  95  97 182 204 212 224],14
31592,pascal/2010_004380.jpg,train,224,224,112,112,pascal/2010_004380_color.png,pascal/2010_004380_object.png,pascal/2010_004380_part.png,,,,[  1  12  27  33  36  55  65  70  84  89  94 107 109 148],14
15046,ade20k/ADE_val_00000788.jpg,train,224,224,112,112,ade20k/ADE_val_00000788_color.png,ade20k/ADE_val_00000788_object.png,ade20k/ADE_val_00000788_part_1.png;ade20k/ADE_val_00000788_part_2.png,,59.0,,[ 13  16  18  31  38  43  47  55  57  60 149 155 161 178],14
32118,ade20k/ADE_train_00014075.jpg,train,224,224,112,112,ade20k/ADE_train_00014075_color.png,ade20k/ADE_train_00014075_object.png,ade20k/ADE_train_00014075_part_1.png,,380.0,,[ 12  14  15  25  35  36  45  46  78  88 127 164 199 240],14
